profesión,ingresos,Sexo,Edad,Año_Experiencia,Año_Estudio
maestro,3500.7,Yes,25 a 29,10 años,Licenciatura
programador,7000.25,Yes,25 a 29,10 años,Licenciatura
diseñador,4500.25,Yes,30 a 34,15 años,Maestria
maestro,3700.5,Yes,35 a 40,20 años,Maestria
maestro,4000.75,Yes,25 a 29,10 años,Maestria
programador,9800.8,Yes,25 a 29,10 años,Técnico
arquitecto,4500.01,Yes,30 a 34,10 años,Licenciatura
medico,10000.35,Yes,35 a 40,10 años,Licenciatura
enfermera,6250.2,No,30 a 34,15 años,Licenciatura
editor de videos,3500.2,No,35 a 40,10 años,Licenciatura
asesor empresarial,8900.21,Yes,35 a 40,15 años,Maestria
ingeniero civil,6890.35,No,30 a 34,10 años,Licenciatura
quimico,8504.02,Yes,25 a 29,15 años,Licenciatura
maestro,6550.2,Yes,20 a 24,5 años,Maestria
maestra,4870.2,No,25 a 29,20 años,Maestria
diseñadora,7805.22,No,20 a 24,5 años,Técnico
medico,12250.05,Yes,30 a 34,15 años,Licenciatura
abogado,9000.27,Yes,30 a 34,20 años,Maestria
abogada,5580.25,No,25 a 29,5 años,Licenciatura
periodista,5458.23,Yes,30 a 34,15 años,Técnico
periodista,8577.4,No,35 a 40,5 años,Maestria
diseñadora,7898.2,No,25 a 29,15 años,Técnico
enfermero,6890.22,Yes,30 a 34,10 años,Técnico
medico,11257.58,Yes,25 a 29,5 años,Licenciatura
comerciante,8555.25,Yes,25 a 29,5 años,Técnico
